code,name,credits,meta
NMXXXX,Naan Mudhalvan,2,21$CB$4^5^6^7
HS3152,Professional English - I,3,21$CB$1
MA3151,Matrices and Calculus,4,21$CB$1
PH3151,Engineering Physics,3,21$CB$1
CY3151,Engineering Chemistry,3,21$CB$1
GE3151,Problem Solving and Python Programming,3,21$CB$1
GE3152,Heritage of Tamils,1,21$CB$1
GE3171,Problem Solving and Python Programming Laboratory,2,21$CB$1
BS3171,Physics and Chemistry Laboratory,2,21$CB$1
GE3172,English Laboratory,1,21$CB$1
HS3252,Professional English - II,2,21$CB$2
MA3251,Statistics and Numerical Methods,4,21$CB$2
PH3256,Physics for Information Science,3,21$CB$2
BE3251,Basic Electrical and Electronics Engineering,3,21$CB$2
GE3251,Engineering Graphics,4,21$CB$2
AD3251,Data Structures Design,3,21$CB$2
GE3252,Tamils and Technology,1,21$CB$2
GE3271,Engineering Practices Laboratory,2,21$CB$2
AD3271,Data Structures Design Laboratory,2,21$CB$2
GE3272,Communication Laboratory / Foreign Language,2,21$CB$2
MA3354,Discrete Mathematics,4,21$CB$3
CS3351,Digital Principles and Computer Organization,4,21$CB$3
CW3301,Fundamentals of Economics,3,21$CB$3
CS3391,Object Oriented Programming,3,21$CB$3
AD3351,Design and Analysis of Algorithms,4,21$CB$3
AD3491,Fundamentals of Data Science and Analytics,3,21$CB$3
CW3311,Business Communication Laboratory I,1.5,21$CB$3
CS3381,Object Oriented Programming Laboratory,1.5,21$CB$3
GE3361,Professional Development,1,21$CB$3
MA3391,Probability and Statistics,4,21$CB$4
CS3492,Database Management Systems,3,21$CB$4
AL3452,Operating Systems,4,21$CB$4
CW3401,Introduction to Business Systems,3,21$CB$4
AL3451,Machine Learning,3,21$CB$4
GE3451,Environmental Sciences and Sustainability,2,21$CB$4
CS3481,Database Management Systems Laboratory,1.5,21$CB$4
AD3461,Machine Learning Laboratory,2,21$CB$4
CW3411,Business Communication Laboratory II,1.5,21$CB$4
CS3691,Embedded Systems and IoT,4,21$CB$5
